date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,linetalis,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/07/2022,Abilene Christian,65,Jackson St.,56,16.5,14.24,14.74,14.74,14.74,14.74,14.91,16,14.13,15,1.69,16.57,13.3,0,13.2,14.16,,,,4,,,9.42,,,15.5
11/07/2022,Akron,81,South Dakota St.,80,3.5,1.19,1.69,1.69,1.69,1.69,2.64,4.5,-1.03,2,1.97,2.14,-2.5,0,-2.5,3.63,,,,4,,,1.17,,,3.1
11/07/2022,Alabama,75,Longwood,54,16,17.44,18.92,18.92,18.92,18.92,11.23,17.5,22.12,12,3.17,20.81,16.2,0,15,16.73,,,,4,,,18.38,,,18.6
11/07/2022,Arizona,117,Nicholls St.,75,24,22.43,22.74,22.74,22.74,22.74,14.77,26.5,25.91,23,3.64,29.19,22.8,0,24.9,17.04,,,,4,,,23.1,,,19.9
11/07/2022,Arizona St.,62,Tarleton St.,59,14,15.53,19.11,19.11,19.11,19.11,5.92,14.5,18.97,18,4.02,13.7,11.8,0,14,11.94,,,,4,,,15.88,,,15.3
11/07/2022,Arkansas,76,North Dakota St.,58,23,18.64,18.51,18.51,18.51,18.51,12.6,22,21.43,14,3.55,23.18,17.9,0,17.7,24.33,,,,4,,,14.63,,,22.5
11/07/2022,Auburn,70,George Mason,52,9.5,14.36,12.3,12.3,12.3,12.3,14.92,12.5,15.47,19,2.19,15.46,15.5,0,16.7,11.93,,,,4,,,12.92,,,15.6
11/07/2022,BYU,60,Idaho St.,56,23.5,22.16,24.3,24.3,24.3,24.3,15.4,24.5,22.64,19,3.94,28.97,21.2,0,23.4,14.81,,,,4,,,20.61,,,24.8
11/07/2022,Belmont,70,Ohio,69,5.5,6.16,5.62,5.62,5.62,5.62,0.85,10,9.21,7,2.47,9.34,5.9,0,8,3.24,,,,4,,,4.79,,,9.3
11/07/2022,Boston,72,Northeastern,63,2,2.8,2.36,2.36,2.36,2.36,2.95,2.5,2.43,4,1.21,2.06,4.7,0,4.8,3.46,,,,4,,,0.33,,,2.2
11/07/2022,Boston College,79,Cornell,77,9.5,9.86,10.87,10.87,10.87,10.87,6.84,13,9.76,9,2.16,14.61,9.9,0,6,8.07,,,,4,,,9.63,,,10.9
